Page,Type,Content,X,Y,Width,Height,Style
"14","Text"," ",40.9899999999583,166.600000000032,33,2.90000000000001,"行事"
"14","Text"," ",40.9899999999583,134.6,33,2.89999999999998,"行事"
"14","Text","成人の日・鏡開き ",40.9999999999583,102.599999999968,33,2.89999999999999,"行事"
"14","Text","官公庁御用始め ",40.9999999999583,70.6,33,2.89999999999998,"行事一覧"
"14","Text"," ",40.9999999999583,38.6,33,2.89999999999998,"行事"
"14","Text","",43.5,173.499999999968,7.5,6,""
"14","Text","25 ",43.5,141.5,7.5,6.00000000000006,"日付"
"14","Text","18 ",43.5,109.5,7.5,6.00000000000001,"日付"
"14","Text","11 ",43.5,77.5,7.5,6,"日付"
"14","Text","4 ",43.5,45.5,7.5,6.00000000000004,"日付"
"15","Text","31 ",257.499999999917,141.5,7.5,6.00000000000006,"日付"
"15","Text","24 ",257.499999999917,109.5,7.5,6.00000000000001,"日付"
"15","Text","17 ",257.499999999917,77.5,7.5,6,"日付"
"15","Text","10 ",257.499999999917,45.5,7.5,6.00000000000004,"日付"
"15","Text","3 ",257.5,13.5,7.49999999999994,6.00000000000004,"日付"
"15","Text","30 ",222.499999999917,141.5,7.49999999999997,6.00000000000006,"日付"
"15","Text","23 ",222.499999999917,109.5,7.49999999999997,6.00000000000001,"日付"
"15","Text","16 ",222.5,77.5,7.5,6,"日付"
"15","Text","9 ",222.499999999917,45.5,7.49999999999997,6.00000000000004,"日付"
"15","Text","2 ",222.5,13.5,7.5,6.00000000000004,"日付"
"15","Text","29 ",187.499999999937,141.5,7.5,6.00000000000006,"日付"
"15","Text","22 ",187.499999999937,109.5,7.5,6.00000000000001,"日付"
"15","Text","15 ",187.5,77.5,7.5,6,"日付"
"15","Text","8 ",187.5,45.5,7.5,6.00000000000004,"日付"
"15","Text","1 ",187.5,13.5,7.5,6.00000000000004,"日付"
"15","Text","28 ",152.499999999958,141.5,7.5,6.00000000000006,"日付"
"15","Text","21 ",152.499999999958,109.5,7.5,6.00000000000001,"日付"
"15","Text","14 ",152.499999999958,77.5,7.5,6,"日付"
"15","Text","7 ",152.499999999958,45.5,7.5,6.00000000000004,"日付"
"15","Text"," ",152.5,13.5,7.5,6.00000000000004,"日付"
"14","Text","27 ",113.499999999958,141.5,7.50000000000001,6.00000000000006,"日付"
"14","Text","20 ",113.499999999958,109.5,7.50000000000001,6.00000000000001,"日付"
"14","Text","13 ",113.5,77.5,7.5,6,"日付"
"14","Text","6 ",113.5,45.5,7.5,6.00000000000004,"日付"
"14","Text"," ",113.5,13.5013888888886,7.5,6,"日付"
"14","Text","",78.4999999999792,173.499999999968,7.5,6,""
"14","Text","26 ",78.4999999999792,141.5,7.5,6.00000000000006,"日付"
"14","Text","19 ",78.4999999999792,109.5,7.5,5.99722222222222,"日付"
"14","Text","12 ",78.4999999999792,77.5,7.5,6,"日付"
"14","Text","5 ",78.4999999999792,45.5,7.5,6.00000000000004,"日付"
"14","Text"," ",78.5,13.5,7.5,6.00000000000004,"日付"
"14","Text"," ",43.5,13.5013888888882,7.5,6,"日付"
"14","Text","",52.3002137513047,173.499999999968,6.00000000000002,3,""
"14","Text","大安 ",52.3002137513047,141.5,6.00000000000002,3,"六曜"
